0 0.67652 0.26236
0.01 0.67652 0.26236
0.02 0.6782 0.26359
0.03 0.68161 0.26618
0.04 0.68679 0.27023
0.05 0.69376 0.2758
0.06 0.70254 0.28293
0.07 0.71314 0.29165
0.08 0.72556 0.302
0.09 0.73982 0.31399
0.1 0.7559 0.32762
0.11 0.77382 0.34291
0.12 0.79355 0.35986
0.13 0.81511 0.37846
0.14 0.83848 0.39871
0.15 0.86365 0.42062
0.16 0.89062 0.44417
0.17 0.91937 0.46935
0.18 0.94989 0.49616
0.19 0.98216 0.52458
0.2 1.0162 0.55459
0.21 1.0504 0.58549
0.22 1.0848 0.61705
0.23 1.1192 0.64906
0.24 1.1534 0.68136
0.25 1.1873 0.71379
0.26 1.221 0.74622
0.27 1.2542 0.77853
0.28 1.2869 0.8106
0.29 1.319 0.84233
0.3 1.3505 0.87362
0.31 1.3813 0.90438
0.32 1.4113 0.93452
0.33 1.4404 0.96396
0.34 1.4686 0.99262
0.35 1.4959 1.0204
0.36 1.5221 1.0473
0.37 1.5472 1.0731
0.38 1.5711 1.0979
0.39 1.5939 1.1216
0.4 1.6154 1.144
0.41 1.6355 1.1652
0.42 1.6543 1.185
0.43 1.6717 1.2035
0.44 1.6877 1.2205
0.45 1.7021 1.236
0.46 1.715 1.25
0.47 1.7263 1.2624
0.48 1.736 1.2732
0.49 1.7441 1.2823
0.5 1.7504 1.2897
0.51 1.755 1.2954
0.52 1.7578 1.2993
0.53 1.7589 1.3014
0.54 1.7581 1.3017
0.55 1.7555 1.3002
0.56 1.751 1.2968
0.57 1.7446 1.2916
0.58 1.7363 1.2845
0.59 1.7262 1.2755
0.6 1.714 1.2646
0.61 1.7 1.2519
0.62 1.684 1.2373
0.63 1.666 1.2209
0.64 1.6462 1.2026
0.65 1.6243 1.1826
0.66 1.6006 1.1607
0.67 1.5749 1.1371
0.68 1.5473 1.1118
0.69 1.5179 1.0847
0.7 1.4866 1.0561
0.71 1.4534 1.0258
0.72 1.4185 0.99393
0.73 1.3818 0.96058
0.74 1.3434 0.92578
0.75 1.3033 0.88958
0.76 1.2616 0.85204
0.77 1.2183 0.81321
0.78 1.1736 0.77318
0.79 1.1274 0.73199
0.8 1.0799 0.68973
0.81 1.031 0.64645
0.82 0.98096 0.60224
0.83 0.92978 0.55716
0.84 0.87756 0.5113
0.85 0.8244 0.46472
0.86 0.77038 0.41752
0.87 0.71562 0.36978
0.88 0.66023 0.32158
0.89 0.6043 0.27301
0.9 0.54796 0.22417
0.91 0.49132 0.17514
0.92 0.43451 0.12604
0.93 0.37766 0.076948
0.94 0.3209 0.027986
0.95 0.26436 -0.020742
0.96 0.20817 -0.069126
0.97 0.15248 -0.11705
0.98 0.097422 -0.1644
0.99 0.043139 -0.21105
1 -0.010231 -0.2569
1.01 -0.062547 -0.30181
1.02 -0.11367 -0.34567
1.03 -0.16347 -0.38835
1.04 -0.21182 -0.42976
1.05 -0.25859 -0.46976
1.06 -0.30365 -0.50825
1.07 -0.34689 -0.54514
1.08 -0.38821 -0.5803
1.09 -0.42751 -0.61366
1.1 -0.46468 -0.64513
1.11 -0.49965 -0.67462
1.12 -0.53233 -0.70207
1.13 -0.56266 -0.7274
1.14 -0.59058 -0.75057
1.15 -0.61602 -0.77151
1.16 -0.63896 -0.7902
1.17 -0.65935 -0.80659
1.18 -0.67716 -0.82066
1.19 -0.69236 -0.83239
1.2 -0.70495 -0.84177
1.21 -0.71492 -0.8488
1.22 -0.72226 -0.85348
1.23 -0.72697 -0.85581
1.24 -0.72907 -0.85582
1.25 -0.72857 -0.85354
1.26 -0.7255 -0.84897
1.27 -0.71987 -0.84217
