1.17 278.67 414.76 519.6 425.99 414.76
1.18 285.16 419.47 530.49 434.94 419.47
1.19 291.69 424.11 541.47 444.23 424.11
1.2 298.19 428.69 552.54 453.92 428.69
1.21 304.61 433.26 563.73 463.99 433.26
1.22 310.9 437.82 575.08 474.45 437.82
1.23 317.03 442.41 586.65 485.26 442.41
1.24 322.97 447.05 598.48 496.36 447.05
1.25 328.71 451.78 610.62 507.7 451.78
1.26 334.26 456.6 623.09 519.2 456.6
1.27 339.62 461.56 635.89 530.84 461.56
1.28 344.84 466.69 648.96 542.59 466.69
1.29 349.95 472.03 662.26 554.45 472.03
1.3 355.02 477.61 675.69 566.44 477.61
1.31 360.11 483.48 689.14 578.62 483.48
1.32 365.29 489.7 702.53 591.02 489.7
1.33 370.62 496.33 715.77 603.7 496.33
1.34 376.15 503.41 728.8 616.7 503.41
1.35 381.93 511 741.59 630.03 511
1.36 387.97 519.14 754.13 643.68 519.14
1.37 394.28 527.83 766.43 657.59 527.83
1.38 400.83 537.05 778.56 671.69 537.05
1.39 407.57 546.73 790.57 685.88 546.73
1.4 414.43 556.75 802.57 700.02 556.75
1.41 421.34 566.98 814.64 714.02 566.98
1.42 428.2 577.23 826.91 727.76 577.23
1.43 434.95 587.33 839.45 741.16 587.33
1.44 441.51 597.12 852.34 754.17 597.12
1.45 447.82 606.48 865.61 766.76 606.48
1.46 453.84 615.31 879.23 778.93 615.31
1.47 459.54 623.56 893.15 790.7 623.56
1.48 464.91 631.2 907.26 802.12 631.2
1.49 469.93 638.24 921.44 813.24 638.24
1.5 474.61 644.7 935.57 824.16 644.7
1.51 478.97 650.6 949.53 834.95 650.6
1.52 483.01 655.97 963.26 845.74 655.97
1.53 486.75 660.86 976.71 856.61 660.86
1.54 490.23 665.29 989.9 867.68 665.29
1.55 493.47 669.32 1002.8 879.03 669.32
1.56 496.52 672.98 1015.6 890.74 672.98
1.57 499.4 676.32 1028.3 902.85 676.32
1.58 502.17 679.38 1041 915.36 679.38
1.59 504.88 682.2 1053.6 928.23 682.2
1.6 507.57 684.85 1066.4 941.41 684.85
1.61 510.29 687.37 1079.1 954.77 687.37
1.62 513.1 689.83 1091.9 968.2 689.83
1.63 516.04 692.27 1104.5 981.58 692.27
1.64 519.16 694.76 1117 994.82 694.76
1.65 522.5 697.38 1129.2 1007.8 697.38
1.66 526.11 700.19 1141 1020.6 700.19
1.67 530 703.26 1152.4 1033.2 703.26
1.68 534.21 706.66 1163.3 1045.5 706.66
1.69 538.74 710.43 1173.7 1057.7 710.43
1.7 543.59 714.63 1183.6 1069.8 714.63
1.71 548.76 719.26 1193 1081.9 719.26
1.72 554.23 724.32 1202 1094.1 724.32
1.73 559.98 729.75 1210.6 1106.4 729.75
1.74 565.96 735.47 1218.9 1118.9 735.47
1.75 572.16 741.36 1226.9 1131.6 741.36
