1.49 1.0902 1.0875 1.0662
1.5 1.0895 1.0858 1.065
1.51 1.0883 1.0838 1.0636
1.52 1.0866 1.0816 1.062
1.53 1.0844 1.0791 1.0603
1.54 1.0817 1.0764 1.0584
1.55 1.0785 1.0735 1.0563
1.56 1.0748 1.0702 1.0541
1.57 1.0708 1.0668 1.0518
1.58 1.0663 1.0631 1.0493
1.59 1.0615 1.0593 1.0466
1.6 1.0563 1.0552 1.0439
1.61 1.0509 1.0509 1.0411
1.62 1.0451 1.0465 1.0381
1.63 1.0392 1.0419 1.0351
1.64 1.0331 1.0372 1.032
1.65 1.0269 1.0324 1.0288
1.66 1.0206 1.0275 1.0256
1.67 1.0143 1.0225 1.0224
1.68 1.0079 1.0175 1.0192
1.69 1.0015 1.0124 1.0159
1.7 0.99523 1.0073 1.0126
1.71 0.98901 1.0022 1.0094
1.72 0.9829 0.99719 1.0061
1.73 0.97692 0.99217 1.0029
1.74 0.9711 0.9872 0.99972
1.75 0.96545 0.9823 0.99657
1.76 0.95999 0.97748 0.99348
1.77 0.95473 0.97275 0.99043
1.78 0.9497 0.96812 0.98745
1.79 0.94488 0.96361 0.98453
1.8 0.9403 0.95923 0.98168
1.81 0.93596 0.95497 0.97891
1.82 0.93185 0.95086 0.97622
1.83 0.92799 0.9469 0.97361
1.84 0.92437 0.94308 0.97109
1.85 0.92099 0.93943 0.96865
1.86 0.91785 0.93594 0.96631
1.87 0.91495 0.93261 0.96405
1.88 0.91228 0.92945 0.9619
1.89 0.90984 0.92646 0.95984
1.9 0.90763 0.92364 0.95787
1.91 0.90563 0.921 0.95601
1.92 0.90385 0.91853 0.95424
1.93 0.90228 0.91622 0.95257
1.94 0.9009 0.91409 0.951
1.95 0.89973 0.91213 0.94953
1.96 0.89875 0.91034 0.94816
1.97 0.89795 0.90871 0.94689
1.98 0.89733 0.90725 0.94572
1.99 0.89689 0.90595 0.94464
2 0.89662 0.9048 0.94366
2.01 0.89651 0.90381 0.94278
2.02 0.89656 0.90297 0.942
2.03 0.89677 0.90229 0.94131
2.04 0.89712 0.90174 0.94072
2.05 0.89762 0.90135 0.94023
2.06 0.89827 0.90109 0.93983
2.07 0.89905 0.90096 0.93953
2.08 0.89997 0.90097 0.93933
2.09 0.90102 0.90111 0.93922
2.1 0.9022 0.90138 0.9392
2.11 0.90351 0.90177 0.93929
2.12 0.90494 0.90229 0.93947
2.13 0.9065 0.90292 0.93975
2.14 0.90817 0.90367 0.94012
2.15 0.90996 0.90454 0.94059
2.16 0.91186 0.90551 0.94116
2.17 0.91388 0.9066 0.94182
2.18 0.91601 0.9078 0.94259
2.19 0.91824 0.9091 0.94345
2.2 0.92058 0.9105 0.9444
2.21 0.92302 0.91201 0.94546
2.22 0.92555 0.91362 0.9466
2.23 0.92819 0.91532 0.94784
2.24 0.93092 0.91712 0.94918
2.25 0.93373 0.91901 0.9506
2.26 0.93664 0.921 0.95212
2.27 0.93962 0.92307 0.95372
2.28 0.94269 0.92524 0.95541
2.29 0.94583 0.92749 0.95719
2.3 0.94903 0.92982 0.95904
2.31 0.95231 0.93223 0.96097
2.32 0.95564 0.93472 0.96297
2.33 0.95903 0.93729 0.96504
2.34 0.96248 0.93993 0.96718
2.35 0.96597 0.94264 0.96939
2.36 0.9695 0.94542 0.97165
2.37 0.97307 0.94827 0.97396
2.38 0.97667 0.95118 0.97633
2.39 0.9803 0.95416 0.97874
2.4 0.98396 0.95719 0.98119
2.41 0.98764 0.96029 0.98368
2.42 0.99134 0.96343 0.98621
2.43 0.99505 0.96664 0.98876
2.44 0.99877 0.96989 0.99134
2.45 1.0025 0.9732 0.99394
2.46 1.0063 0.97656 0.99656
2.47 1.01 0.97997 0.99919
2.48 1.0138 0.98342 1.0018
2.49 1.0175 0.98692 1.0045
2.5 1.0213 0.99046 1.0072
2.51 1.0251 0.99405 1.0098
2.52 1.0288 0.99769 1.0125
2.53 1.0326 1.0014 1.0152
2.54 1.0364 1.0051 1.0178
