1 102 130.58 147.94 92.137 77.971 79.61
1.01 102.84 132.24 151.06 92.383 78.343 80.013
1.02 103.65 133.87 154.23 92.647 78.76 80.46
1.03 104.42 135.45 157.45 92.932 79.224 80.952
1.04 105.16 136.99 160.7 93.242 79.738 81.493
1.05 105.86 138.48 163.98 93.581 80.302 82.084
1.06 106.52 139.92 167.3 93.949 80.918 82.725
1.07 107.14 141.31 170.64 94.351 81.588 83.418
1.08 107.73 142.65 174.01 94.788 82.31 84.163
1.09 108.27 143.93 177.39 95.262 83.087 84.961
1.1 108.77 145.16 180.78 95.774 83.918 85.812
1.11 109.23 146.33 184.18 96.326 84.802 86.717
1.12 109.65 147.44 187.58 96.919 85.74 87.673
1.13 110.03 148.5 190.97 97.553 86.73 88.681
1.14 110.36 149.5 194.34 98.228 87.772 89.739
1.15 110.66 150.44 197.7 98.945 88.863 90.846
1.16 110.91 151.32 201.02 99.702 90.002 92
1.17 111.12 152.15 204.32 100.5 91.187 93.199
1.18 111.29 152.92 207.58 101.34 92.414 94.439
1.19 111.41 153.64 210.79 102.21 93.683 95.719
1.2 111.5 154.3 213.95 103.12 94.988 97.034
1.21 111.55 154.91 217.05 104.07 96.327 98.381
1.22 111.55 155.47 220.09 105.04 97.696 99.756
1.23 111.52 155.98 223.06 106.05 99.091 101.15
1.24 111.45 156.44 225.95 107.08 100.51 102.57
1.25 111.34 156.85 228.77 108.13 101.94 104.01
1.26 111.19 157.21 231.5 109.21 103.39 105.45
1.27 111.01 157.53 234.15 110.3 104.85 106.91
1.28 110.79 157.8 236.7 111.4 106.31 108.36
1.29 110.53 158.02 239.17 112.52 107.77 109.81
1.3 110.24 158.2 241.55 113.64 109.23 111.25
1.31 109.91 158.34 243.84 114.76 110.68 112.68
1.32 109.55 158.44 246.05 115.88 112.11 114.09
1.33 109.16 158.49 248.18 116.99 113.52 115.48
1.34 108.74 158.5 250.22 118.1 114.92 116.84
1.35 108.28 158.47 252.19 119.19 116.28 118.17
1.36 107.8 158.4 254.09 120.26 117.61 119.46
1.37 107.28 158.28 255.92 121.31 118.9 120.71
1.38 106.74 158.13 257.69 122.33 120.14 121.92
1.39 106.17 157.94 259.41 123.33 121.34 123.07
